target,distractor1,distractor2,distractor3,audioFile,audioUrl,a,b,c,d,corpusId
a,e,d,h,aLetter,https://storage.googleapis.com/roar-ak/it/shared/aLetter.mp3,1,0,"0,5",1,letterNameLower
b,p,d,i,bLetter,https://storage.googleapis.com/roar-ak/it/shared/bLetter.mp3,1,0,"0,5",1,letterNameLower
c,g,q,i,cLetter,https://storage.googleapis.com/roar-ak/it/shared/cLetter.mp3,1,0,"0,5",1,letterNameLower
d,t,b,r,dLetter,https://storage.googleapis.com/roar-ak/it/shared/dLetter.mp3,1,0,"0,5",1,letterNameLower
e,i,a,s,eLetter,https://storage.googleapis.com/roar-ak/it/shared/eLetter.mp3,1,0,"0,5",1,letterNameLower
f,v,h,z,fLetter,https://storage.googleapis.com/roar-ak/it/shared/fLetter.mp3,1,0,"0,5",1,letterNameLower
g,c,q,z,gLetter,https://storage.googleapis.com/roar-ak/it/shared/gLetter.mp3,1,0,"0,5",1,letterNameLower
h,a,n,f,hLetter,https://storage.googleapis.com/roar-ak/it/shared/hLetter.mp3,1,0,"0,5",1,letterNameLower
i,e,l,b,iLetter,https://storage.googleapis.com/roar-ak/it/shared/iLetter.mp3,1,0,"0,5",1,letterNameLower
l,r,t,v,lLetter,https://storage.googleapis.com/roar-ak/it/shared/lLetter.mp3,1,0,"0,5",1,letterNameLower
m,n,u,g,mLetter,https://storage.googleapis.com/roar-ak/it/shared/mLetter.mp3,1,0,"0,5",1,letterNameLower
n,m,r,f,nLetter,https://storage.googleapis.com/roar-ak/it/shared/nLetter.mp3,1,0,"0,5",1,letterNameLower
o,a,p,m,oLetter,https://storage.googleapis.com/roar-ak/it/shared/oLetter.mp3,1,0,"0,5",1,letterNameLower
p,b,q,u,pLetter,https://storage.googleapis.com/roar-ak/it/shared/pLetter.mp3,1,0,"0,5",1,letterNameLower
q,c,g,m,qLetter,https://storage.googleapis.com/roar-ak/it/shared/qLetter.mp3,1,0,"0,5",1,letterNameLower
r,s,n,o,rLetter,https://storage.googleapis.com/roar-ak/it/shared/rLetter.mp3,1,0,"0,5",1,letterNameLower
s,z,e,h,sLetter,https://storage.googleapis.com/roar-ak/it/shared/sLetter.mp3,1,0,"0,5",1,letterNameLower
t,p,l,o,tLetter,https://storage.googleapis.com/roar-ak/it/shared/tLetter.mp3,1,0,"0,5",1,letterNameLower
u,o,v,c,uLetter,https://storage.googleapis.com/roar-ak/it/shared/uLetter.mp3,1,0,"0,5",1,letterNameLower
v,f,u,l,vLetter,https://storage.googleapis.com/roar-ak/it/shared/vLetter.mp3,1,0,"0,5",1,letterNameLower
z,t,s,d,zLetter,https://storage.googleapis.com/roar-ak/it/shared/zLetter.mp3,1,0,"0,5",1,letterNameLower
